# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.modify.entity.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.instances.count,1774282258877000000,1774290441461000000,0
jps.module.iml.entities.serializer.load.entities.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1774282258877000000,1774290441461000000,0
workspaceModel.load.cache.metadata.from.file.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1774282258877000000,1774290441461000000,0
jps.library.entities.serializer.save.entities.ms,1774282258877000000,1774290441461000000,0
workspaceModel.do.save.caches.ms,1774282258877000000,1774290441461000000,0
jps.save.global.entities.ms,1774282258877000000,1774290441461000000,0
jps.global.initialize.library.bridges.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1774282258877000000,1774290441461000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1774282258877000000,1774290441461000000,0
jps.save.changed.project.entities.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1774282258877000000,1774290441461000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1774282258877000000,1774290441461000000,0
jps.project.serializers.save.ms,1774282258877000000,1774290441461000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1774282258877000000,1774290441461000000,0
jps.facet.change.listener.init.bridge.ms,1774282258877000000,1774290441461000000,0
jps.load.initial.state.ms,1774282258877000000,1774290441461000000,0
cacheStateStorage.set.duration,1774282258877000000,1774290441461000000,0
cacheStateStorage.get.duration,1774282258877000000,1774290441461000000,0
cacheStateStorage.set.counter,1774282258877000000,1774290441461000000,0
cacheStateStorage.get.counter,1774282258877000000,1774290441461000000,0
